Hotel Name,Price,Review Score,Property URL
Le Meridien Cairo Airport,"EGP 7,620",Scored 8.9,https://www.booking.com/hotel/eg/le-meridien-cairo-airport.en-gb.html
Waldorf Astoria Cairo Heliopolis,"EGP 14,562",Scored 9.2,https://www.booking.com/hotel/eg/fairmont-towers.en-gb.html
Novotel Cairo Airport,"EGP 4,940",Scored 7.6,https://www.booking.com/hotel/eg/novotel-cairo-airport.en-gb.html
Dusit Thani LakeView Cairo,"EGP 12,770",Scored 8.7,https://www.booking.com/hotel/eg/dusit-thani-lakeview-cairo.en-gb.html
Hilton Cairo Grand Nile,"EGP 5,583",Scored 8.0,https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html
Cairo Downtown Prime Stays - Two bedroom Private apartment,"EGP 1,366",N/A,https://www.booking.com/hotel/eg/cairo-downtown-prime-stays-two-bedroom-private-apartment.en-gb.html
Hilton Nile,EGP 653,N/A,https://www.booking.com/hotel/eg/hilton-nile.en-gb.html
City View Palace hotel,"EGP 1,236",Scored 7.9,https://www.booking.com/hotel/eg/city-view-palace.en-gb.html
Pyramids X Hotel,EGP 993,Scored 10,https://www.booking.com/hotel/eg/pyramids-x.en-gb.html
Sheraton Cairo Hotel & Casino,"EGP 8,040",Scored 8.8,https://www.booking.com/hotel/eg/shecairoeg.en-gb.html
Seven Heaven pyramids,"EGP 2,122",Scored 8.6,https://www.booking.com/hotel/eg/seven-heaven-pyramid.en-gb.html
"Marriott Mena House, Cairo","EGP 37,310",Scored 8.8,https://www.booking.com/hotel/eg/mena-house-oberoi.en-gb.html
Hotel Flamenco Cairo,"EGP 3,877",Scored 8.0,https://www.booking.com/hotel/eg/golden-tulip-flamenco-cairo.en-gb.html
Fairmont Nile City,"EGP 8,933",Scored 8.4,https://www.booking.com/hotel/eg/fairmont-nile-city.en-gb.html
Pyramisa Suites Hotel Cairo,"EGP 3,671",Scored 8.5,https://www.booking.com/hotel/eg/pyramisa-suites-casino-cairo.en-gb.html
Ramses Hilton Hotel & Casino,"EGP 5,360",Scored 8.4,https://www.booking.com/hotel/eg/ramses-hilton.en-gb.html
Pyramids fort,"EGP 66,213",Scored 6.8,https://www.booking.com/hotel/eg/nona-pyramid-inn.en-gb.html
السفارات بمدينه نصر للخدمات الفندقيه,"EGP 1,206",Scored 9.5,https://www.booking.com/hotel/eg/brj-lsfw-mdyn-nsr18.en-gb.html
Cairo Marriott Hotel,"EGP 8,040",Scored 8.5,https://www.booking.com/hotel/eg/cairo-marriott-omar-khayyam-casino.en-gb.html
"Radisson Blu Hotel, Cairo Heliopolis","EGP 5,251",Scored 7.9,https://www.booking.com/hotel/eg/radisson-blu-cairo-heliopolis.en-gb.html
Sonesta Hotel Tower & Casino Cairo,"EGP 4,254",Scored 8.3,https://www.booking.com/hotel/eg/sonesta-cairo-casino.en-gb.html
Museum And Nile View Hotel,"EGP 3,379",Scored 8.9,https://www.booking.com/hotel/eg/museum-and-nile-view.en-gb.html
JAZ Pyramids Resort,"EGP 4,331",Scored 8.9,https://www.booking.com/hotel/eg/oasis-pyramids.en-gb.html
Sofitel Cairo Downtown Nile,"EGP 8,881",Scored 8.5,https://www.booking.com/hotel/eg/sofitel-cairo-downtown-nile.en-gb.html
Paradise Home City Stars,"EGP 4,729",Scored 7.7,https://www.booking.com/hotel/eg/paradise-home-city-stars.en-gb.html
The President Hotel Cairo,"EGP 4,198",Scored 8.5,https://www.booking.com/hotel/eg/president.en-gb.html
